,,,citações,fator impacto,H-index,Ano,
1,Mobile device integration of a fingerprint biometric remote authentication scheme,International Journal of Communication Systems,86,"1,319",49,2012,
2,Unified threat model for analyzing and evaluating software threats,Security and Communication Networks,7,"1,288",43,2014,
3,Probabilistic modelling of humans in security ceremonies,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),16,"1,36",400,2015,
4,OpenID Connect as a security service in cloud-based medical imaging systems,Journal of Medical Imaging,5,"3,61",29,2016,
5,Secure multi-factor remote user authentication scheme for Internet of Things environments,International Journal of Communication Systems,52,"1,319",49,2017,
6,Multi-factor authentication model based on multipurpose speech watermarking and online speaker recognition,Multimedia Tools and Applications,14,"2,313",70,2017,
7,Enterprise level security: Insider threat counter-claims,Lecture Notes in Engineering and Computer Science,15,"0,22",22,2017,
8,Cryptanalysis and improvement of ecc based authentication and key exchanging protocols,Cryptography,17,na,na,2017,
9,Insider threat metrics in Enterprise Level security,IAENG International Journal of Computer Science,1,"0,323",21,2018,
10,Secret Sharing Schemes with Hidden Sets,Proceedings - IEEE Symposium on Computers and Communications,1,na,0,2018,
11,An extensive formal analysis of multi-factor authentication protocols,Proceedings - IEEE Computer Security Foundations Symposium,25,"5,18",41,2018,
12,A hybrid scheme for an interoperable identity federation system based on attribute aggregation method,Computers,0,"2,604",19,2019,
13,Authentication and Authorization for Mobile IoT Devices Using Biofeatures: Recent Advances and Future Trends,Security and Communication Networks,30,,,2019,
14,Practical cyber-security solutions for the science DMZ,ACM International Conference Proceeding Series,2,"0,182",123,2019,
15,Formalizing and Analyzing Security Ceremonies with Heterogeneous Devices in ANP and PDL,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),1,"1,36",400,2019,
16,Risk communication in cyberspace: a brief review of the information-processing and mental models approaches,Current Opinion in Psychology,3,"5,311",44,2020,
17,A survey on multi-factor authentication for online banking in the wild,Computers and Security,16,"6,746",92,2020,
18,Two-factor authentication scheme for mobile money: A review of threat models and countermeasures,Future Internet,4,"3,638",28,2020,
19,MoLaBSS: Server-specific add-on biometric security layer model to enhance the usage of biometrics,Information (Switzerland),1,"2,38",28,2020,
20,Machine Learning Models for Secure Data Analytics: A taxonomy and threat model,Computer Communications,76,"4,084",105,2020,
21,Privacy and Security Problems in Healthcare 4.0 [Saǧlik 4.0'da Mahremiyet ve Güvenlik Sorunlari],"4th International Symposium on Multidisciplinary Studies and Innovative Technologies, ISMSIT 2020 - Proceedings",0,0,0,2020,
22,Formal Analysis of Mobile Multi-Factor Authentication with Single Sign-On Login,ACM Transactions on Privacy and Security,1,"4,805",14,2020,
23,Explainable Security,"Proceedings - 5th IEEE European Symposium on Security and Privacy Workshops, Euro S and PW 2020",20,"2,071",6,2020,*2019
24,Security analysis of unified payments interface and payment apps in India,Proceedings of the 29th USENIX Security Symposium,6,"12,869",23,2020,*2018
25,"Progressive researches on IoT security: An exhaustive analysis from the perspective of protocols, vulnerabilities, and preemptive architectonics",Journal of Network and Computer Applications,13,"8,171",105,2020,
26,A review on electronic payments security,Symmetry,7,"3,114",50,2020,
27,MuFASA: A Tool for High-level Specification and Analysis of Multi-factor Authentication Protocols,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),1,"1,36",400,2020,
28,"Systematic survey of mobile payments, protocols, and security infrastructure",Journal of Ambient Intelligence and Humanized Computing,0,"4,807",41,2021,
29,Verification of pattern unlock and gait behavioural authentication through a machine learning approach,International Journal of Intelligent Unmanned Systems,1,"1,548",10,2021,
30,An Extensive Formal Analysis of Multi-factor Authentication Protocols,ACM Transactions on Privacy and Security,25,"4,805",14,2021,
31,A broad review on non-intrusive active user authentication in biometrics,Journal of Ambient Intelligence and Humanized Computing,0,"4,807",41,2021,
32,"A review of cryptographic impact in cybersecurity on smart grid: Threat, challenges and countermeasures",Journal of Theoretical and Applied Information Technology,,"0,595",29,2021,não achei
33,Efficient FPGA implementation of high-speed true random number generator,Review of Scientific Instruments,0,"1,778",165,2021,
34,Formalizing and analyzing security ceremonies with heterogeneous devices in ANP and PDL,Journal of Logical and Algebraic Methods in Programming,1,"1,69",18,2021,
,,,,,,,
,citações do google scholar,,,,,,
,hindex e impact factor do scjr imago,,,,,,
